transport,vehicle_type,vehicle_monthly_distance_km,frequency_of_traveling_by_air,region,heating_energy_source,how_long_tv_pc_daily_hour,how_long_internet_daily_hour,diet,monthly_grocery_bill,how_many_new_clothes_monthly,waste_bag_size,waste_bag_weekly_count,recycling,cooking_with,grid_factor,grocery_factor,household_size,country,carbon_emission_kgco2e_month
walk/bicycle,none,316.1,rarely,mixed,electricity,4.0,0.0,vegetarian,441.2,1,medium,7,['none'],"['stove', 'airfryer']",0.3844,0.36,3,us,452.2
private,petrol,55.4,never,mixed,natural gas,5.0,3.5,pescatarian,2201.2,1,small,2,['none'],"['stove', 'oven', 'airfryer']",0.67013,0.11,1,india,485.9
walk/bicycle,none,361.9,often,mixed,electricity,8.0,0.5,omnivore,95.1,15,medium,2,['none'],['oven'],0.21741,0.44,1,uk,785.0
walk/bicycle,none,42.3,never,mixed,natural gas,7.0,7.5,omnivore,345.5,3,medium,1,['none'],"['oven', 'airfryer']",0.21741,0.44,1,uk,554.7
private,diesel,129.5,rarely,mixed,natural gas,4.5,6.5,omnivore,248.6,1,large,2,['paper'],"['stove', 'microwave']",0.21741,0.44,6,uk,449.4
public,none,454.7,rarely,mixed,electricity,2.0,4.5,omnivore,386.0,1,extra large,1,"['paper', 'plastic', 'metal']","['oven', 'microwave']",0.3844,0.36,2,us,493.7
private,hybrid,859.9,rarely,mixed,natural gas,6.0,5.0,vegetarian,3040.8,4,large,1,['none'],"['stove', 'oven', 'grill']",0.67013,0.11,1,india,729.0
private,none,22.1,often,mixed,electricity,3.0,5.5,vegetarian,277.7,1,large,4,['metal'],['airfryer'],0.21741,0.44,4,uk,508.9
private,diesel,57.7,often,mixed,electricity,3.0,6.0,pescatarian,238.7,1,small,4,['none'],"['stove', 'oven', 'microwave']",0.21741,0.44,2,uk,543.5
private,petrol,170.7,rarely,mixed,natural gas,4.0,11.0,vegetarian,529.4,1,large,4,['plastic'],['stove'],0.3844,0.36,1,us,675.3
private,petrol,323.4,rarely,mixed,electricity,4.5,4.5,omnivore,190.7,2,medium,3,['paper'],"['stove', 'microwave']",0.21741,0.44,3,uk,493.8
private,petrol,97.7,rarely,mixed,wood,6.5,5.5,vegan,3852.7,1,medium,3,"['paper', 'metal']",['stove'],0.67013,0.11,1,india,843.8
walk/bicycle,none,165.4,rarely,mixed,electricity,2.0,6.5,omnivore,1063.2,8,medium,4,"['paper', 'plastic']",['stove'],0.21741,0.44,2,uk,909.9
public,none,175.2,rarely,mixed,electricity,5.5,7.5,vegetarian,934.2,3,large,2,"['paper', 'metal']","['stove', 'oven']",0.67013,0.11,3,india,469.6
private,none,159.8,never,renewable_heavy,electricity,3.5,5.5,omnivore,2816.2,1,small,3,"['paper', 'plastic']","['oven', 'microwave', 'grill']",0.147,0.11,3,india,565.0
private,diesel,167.7,rarely,mixed,electricity,11.5,6.0,omnivore,1015.4,3,large,4,"['paper', 'plastic']",['stove'],0.3844,0.36,8,us,775.2
private,petrol,178.4,rarely,mixed,wood,4.0,5.0,vegan,1541.0,1,medium,3,"['paper', 'plastic']","['stove', 'microwave', 'grill']",0.67013,0.11,2,india,421.8
private,petrol,767.6,often,renewable_heavy,natural gas,7.0,4.5,omnivore,1446.0,1,small,2,['plastic'],"['stove', 'oven', 'grill']",0.147,0.11,1,india,785.4
walk/bicycle,none,147.3,never,renewable_heavy,natural gas,8.5,12.5,pescatarian,1434.0,2,large,5,"['paper', 'plastic', 'glass']",['none'],0.147,0.11,1,india,653.2
walk/bicycle,none,556.5,rarely,mixed,wood,2.0,5.5,omnivore,879.9,1,large,1,['none'],"['stove', 'microwave', 'airfryer']",0.3844,0.36,1,us,741.7
private,petrol,171.1,very frequently,mixed,electricity,4.0,9.0,vegan,758.2,4,extra large,0,"['plastic', 'glass']","['stove', 'microwave']",0.21741,0.44,3,uk,1033.6
private,electric,94.8,rarely,mixed,electricity,5.5,4.5,omnivore,1732.4,4,medium,2,['none'],"['stove', 'microwave']",0.67013,0.11,2,india,666.5
private,petrol,140.8,never,mixed,natural gas,2.0,2.5,omnivore,1028.5,1,small,1,"['paper', 'metal', 'glass']","['stove', 'microwave', 'grill', 'airfryer']",0.3844,0.36,1,us,674.0
private,none,38.0,often,mixed,natural gas,3.0,1.5,vegetarian,188.2,7,medium,7,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.21741,0.44,1,uk,721.6
private,petrol,67.2,never,renewable_heavy,electricity,3.5,4.0,omnivore,2645.9,2,medium,7,"['paper', 'plastic', 'metal']",['stove'],0.147,0.11,2,india,664.1
private,hybrid,92.8,rarely,renewable_heavy,natural gas,6.0,0.0,omnivore,1241.3,0,medium,3,"['paper', 'plastic']","['stove', 'oven']",0.147,0.11,5,india,489.4
private,petrol,202.4,rarely,mixed,electricity,8.0,8.5,vegan,399.8,2,medium,1,['none'],"['oven', 'microwave']",0.21741,0.44,2,uk,425.7
private,petrol,789.5,very frequently,mixed,natural gas,4.0,4.5,vegetarian,300.8,3,medium,1,['none'],"['stove', 'oven', 'microwave']",0.21741,0.44,5,uk,784.7
public,none,130.6,often,renewable_heavy,natural gas,2.0,5.5,vegetarian,250.6,1,extra large,1,"['plastic', 'glass']","['stove', 'microwave']",0.085,0.36,4,us,465.0
public,none,70.6,often,mixed,electricity,9.5,2.5,omnivore,438.6,13,small,2,['metal'],"['stove', 'airfryer']",0.21741,0.44,5,uk,876.9
private,petrol,385.4,rarely,renewable_heavy,natural gas,5.5,1.5,omnivore,1025.3,1,small,1,['paper'],"['stove', 'microwave']",0.147,0.11,1,india,506.1
private,petrol,213.8,never,mixed,natural gas,6.0,2.0,omnivore,2968.3,2,medium,6,['none'],"['stove', 'oven', 'microwave', 'grill', 'airfryer']",0.67013,0.11,1,india,912.7
public,none,514.7,never,mixed,electricity,0.0,8.0,pescatarian,546.6,1,medium,2,['glass'],['microwave'],0.21741,0.44,2,uk,439.1
private,none,434.6,never,renewable_heavy,electricity,0.5,7.5,omnivore,2127.2,1,medium,2,['none'],['stove'],0.147,0.11,2,india,533.8
walk/bicycle,none,300.9,rarely,renewable_heavy,natural gas,3.5,4.5,vegetarian,308.9,2,large,3,"['plastic', 'metal']","['stove', 'oven', 'microwave', 'airfryer']",0.048,0.44,3,uk,451.1
private,hybrid,249.6,rarely,mixed,electricity,5.5,2.0,omnivore,664.5,1,small,2,['paper'],"['stove', 'microwave']",0.3844,0.36,3,us,613.3
walk/bicycle,none,435.6,never,mixed,electricity,4.5,5.5,omnivore,571.5,1,extra large,1,['plastic'],"['stove', 'oven', 'microwave', 'airfryer']",0.21741,0.44,2,uk,585.5
private,petrol,408.3,often,mixed,electricity,2.5,8.0,vegetarian,341.2,1,small,6,['plastic'],"['stove', 'microwave']",0.3844,0.36,2,us,630.5
public,none,425.0,rarely,mixed,electricity,1.5,10.0,vegan,2201.7,0,medium,2,['none'],"['stove', 'microwave']",0.67013,0.11,1,india,616.6
private,diesel,417.1,never,renewable_heavy,electricity,6.0,11.0,omnivore,1599.6,1,medium,2,['none'],"['stove', 'oven']",0.147,0.11,2,india,545.8
public,none,170.3,often,mixed,natural gas,5.5,6.0,vegetarian,2573.3,10,small,5,"['paper', 'plastic', 'metal']","['stove', 'microwave', 'airfryer']",0.67013,0.11,1,india,964.0
private,diesel,87.5,rarely,mixed,electricity,2.5,3.0,omnivore,243.2,1,medium,1,"['paper', 'glass']","['stove', 'microwave']",0.21741,0.44,1,uk,510.0
private,diesel,185.8,never,mixed,electricity,4.0,5.5,vegan,2238.6,1,medium,2,['none'],"['stove', 'oven']",0.67013,0.11,1,india,624.0
public,none,126.1,often,mixed,wood,2.0,3.0,omnivore,1886.7,2,small,5,['none'],"['oven', 'microwave']",0.67013,0.11,2,india,670.1
private,petrol,78.8,never,renewable_heavy,electricity,2.0,8.0,vegetarian,3261.1,7,medium,3,['none'],"['stove', 'microwave', 'grill']",0.147,0.11,1,india,723.4
private,petrol,763.5,never,mixed,electricity,4.5,8.5,omnivore,1481.3,2,medium,1,['none'],"['stove', 'oven']",0.67013,0.11,1,india,695.4
private,petrol,179.4,often,mixed,wood,9.0,4.5,vegan,423.7,1,medium,2,['none'],"['stove', 'oven', 'microwave', 'grill']",0.21741,0.44,1,uk,583.8
public,none,70.4,rarely,renewable_heavy,electricity,5.0,7.0,vegetarian,1583.3,0,medium,2,['none'],"['stove', 'oven', 'microwave']",0.147,0.11,1,india,453.0
public,none,604.9,rarely,mixed,electricity,5.5,8.0,omnivore,157.4,1,extra large,1,['paper'],"['stove', 'oven']",0.21741,0.44,2,uk,440.3
private,none,201.0,never,mixed,natural gas,3.5,2.0,omnivore,1737.0,2,large,1,"['paper', 'glass']",['none'],0.67013,0.11,1,india,539.6
public,none,443.8,never,mixed,electricity,3.5,8.0,omnivore,630.4,1,large,2,['none'],"['stove', 'oven']",0.3844,0.36,1,us,694.7
walk/bicycle,none,130.1,rarely,mixed,electricity,5.5,5.5,vegetarian,641.6,5,extra large,1,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.3844,0.36,8,us,547.3
public,none,309.6,very frequently,mixed,natural gas,5.0,4.0,vegetarian,1421.0,1,medium,1,['plastic'],['none'],0.67013,0.11,2,india,789.7
private,petrol,322.2,rarely,mixed,electricity,5.5,1.5,omnivore,626.7,5,medium,1,['plastic'],"['stove', 'oven', 'microwave']",0.21741,0.44,2,uk,764.8
private,electric,199.1,never,mixed,natural gas,1.5,6.0,omnivore,735.0,1,medium,2,['paper'],"['stove', 'microwave']",0.21741,0.44,3,uk,622.4
private,none,103.0,very frequently,mixed,electricity,4.0,7.0,omnivore,219.3,1,large,3,['plastic'],"['stove', 'microwave']",0.21741,0.44,3,uk,866.1
private,petrol,259.9,very frequently,mixed,natural gas,4.0,10.5,vegetarian,2151.3,1,large,2,"['paper', 'plastic']","['stove', 'oven', 'grill', 'airfryer']",0.67013,0.11,1,india,946.7
private,petrol,311.0,never,mixed,electricity,5.5,3.0,omnivore,3588.0,2,large,2,"['paper', 'plastic']",['oven'],0.67013,0.11,1,india,901.9
public,none,61.5,never,mixed,electricity,5.0,8.0,omnivore,912.7,5,small,4,['none'],"['stove', 'microwave']",0.3844,0.36,2,us,782.5
private,petrol,1602.4,never,mixed,natural gas,2.5,8.5,vegetarian,2245.1,2,small,1,['none'],['microwave'],0.67013,0.11,1,india,677.5
public,none,785.4,rarely,mixed,electricity,7.0,4.0,vegetarian,672.9,1,medium,2,['glass'],['microwave'],0.21741,0.44,1,uk,597.0
private,diesel,206.8,never,mixed,electricity,7.5,7.5,vegan,913.6,2,medium,5,"['paper', 'plastic']","['oven', 'microwave']",0.3844,0.36,4,us,492.3
private,diesel,390.6,often,mixed,natural gas,3.0,1.5,omnivore,610.7,1,medium,6,"['paper', 'plastic', 'metal', 'glass']","['stove', 'grill', 'airfryer']",0.3844,0.36,8,us,686.5
public,none,178.4,rarely,mixed,natural gas,2.0,10.0,omnivore,313.8,0,large,5,"['paper', 'plastic', 'metal', 'glass']",['none'],0.21741,0.44,3,uk,454.1
private,petrol,102.6,rarely,mixed,electricity,2.5,4.5,vegan,447.9,2,large,1,['none'],"['microwave', 'airfryer']",0.21741,0.44,1,uk,492.2
walk/bicycle,none,426.4,never,mixed,natural gas,2.5,3.0,omnivore,1381.5,3,medium,2,['none'],"['stove', 'oven', 'microwave']",0.67013,0.11,1,india,555.1
private,petrol,87.0,rarely,mixed,electricity,4.0,5.0,omnivore,1423.3,6,large,4,"['paper', 'plastic', 'metal']","['stove', 'airfryer']",0.67013,0.11,3,india,722.1
private,diesel,253.1,rarely,mixed,natural gas,6.5,5.5,omnivore,191.3,3,medium,4,['none'],"['stove', 'microwave']",0.3844,0.36,5,us,483.2
public,none,100.2,very frequently,mixed,electricity,4.0,3.0,omnivore,722.7,0,small,4,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.3844,0.36,3,us,1055.0
public,none,85.3,never,renewable_heavy,natural gas,7.0,8.5,vegetarian,3577.9,1,large,1,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.147,0.11,2,india,571.0
private,electric,206.8,often,mixed,electricity,8.0,6.0,omnivore,157.9,3,large,1,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.3844,0.36,1,us,637.2
public,none,463.4,rarely,mixed,electricity,6.5,5.5,omnivore,281.2,1,large,5,"['paper', 'plastic']",['microwave'],0.21741,0.44,2,uk,559.4
private,petrol,229.4,often,renewable_heavy,electricity,6.5,2.0,omnivore,261.3,3,small,3,"['paper', 'plastic']","['stove', 'oven', 'microwave', 'airfryer']",0.048,0.44,5,uk,607.4
private,hybrid,192.0,rarely,mixed,electricity,6.5,7.0,vegetarian,591.5,1,medium,3,['none'],['stove'],0.3844,0.36,1,us,628.8
private,petrol,36.0,never,mixed,natural gas,4.5,7.5,omnivore,1987.1,1,large,2,"['paper', 'plastic']","['oven', 'microwave', 'grill']",0.67013,0.11,3,india,536.7
public,none,151.4,never,mixed,electricity,1.5,6.5,vegan,2852.2,1,small,1,"['paper', 'plastic']","['microwave', 'airfryer']",0.67013,0.11,1,india,573.9
public,none,50.9,rarely,mixed,electricity,7.0,5.0,omnivore,452.2,2,extra large,2,['none'],['none'],0.3844,0.36,2,us,546.0
private,petrol,191.0,rarely,renewable_heavy,electricity,6.5,4.0,omnivore,2314.9,1,small,2,"['plastic', 'glass']","['stove', 'microwave', 'grill']",0.147,0.11,3,india,581.4
public,none,180.4,rarely,mixed,electricity,1.0,5.5,vegetarian,456.9,7,small,2,"['paper', 'metal', 'glass']","['stove', 'microwave', 'airfryer']",0.3844,0.36,1,us,555.4
public,none,172.0,never,mixed,electricity,3.5,5.5,vegan,849.0,1,medium,9,"['paper', 'plastic', 'glass']","['stove', 'grill']",0.3844,0.36,4,us,512.1
private,petrol,176.3,never,renewable_heavy,wood,4.0,7.5,vegan,1162.3,12,medium,3,"['paper', 'glass']","['stove', 'oven', 'grill']",0.147,0.11,1,india,557.5
private,electric,284.9,rarely,mixed,electricity,3.0,6.0,omnivore,1320.5,2,medium,2,['none'],"['stove', 'oven', 'microwave']",0.67013,0.11,1,india,700.0
private,diesel,301.8,rarely,mixed,electricity,6.5,0.5,omnivore,1238.1,1,medium,2,['paper'],"['stove', 'oven']",0.67013,0.11,1,india,711.4
private,diesel,245.7,rarely,mixed,electricity,6.0,6.0,vegetarian,465.4,1,large,2,['none'],['airfryer'],0.21741,0.44,1,uk,577.3
walk/bicycle,none,433.7,never,mixed,natural gas,6.0,4.0,omnivore,181.8,1,extra large,1,['none'],['none'],0.3844,0.36,3,us,358.9
public,none,20.6,rarely,mixed,natural gas,3.5,2.0,omnivore,689.8,1,large,3,['none'],"['stove', 'microwave']",0.67013,0.11,1,india,607.1
private,petrol,73.5,often,mixed,electricity,2.5,1.5,omnivore,531.8,1,medium,7,"['plastic', 'metal', 'glass']","['stove', 'grill']",0.21741,0.44,1,uk,856.6
private,petrol,269.5,rarely,mixed,electricity,7.0,3.0,omnivore,208.5,1,medium,3,['none'],"['stove', 'microwave', 'grill']",0.3844,0.36,6,us,414.7
private,petrol,182.2,never,mixed,wood,2.0,0.5,omnivore,272.0,6,medium,2,['none'],"['stove', 'grill']",0.3844,0.36,1,us,568.0
private,petrol,83.5,never,mixed,electricity,1.0,4.5,vegan,172.4,3,large,2,['paper'],"['stove', 'oven']",0.21741,0.44,3,uk,307.8
private,diesel,268.4,never,mixed,natural gas,4.0,8.0,vegetarian,1345.5,4,large,2,['paper'],"['stove', 'microwave', 'airfryer']",0.67013,0.11,1,india,600.3
private,petrol,351.3,rarely,mixed,electricity,4.0,5.0,omnivore,5000.0,4,small,3,"['paper', 'glass']","['stove', 'oven', 'microwave', 'airfryer']",0.67013,0.11,1,india,1091.7
private,petrol,91.7,never,renewable_heavy,natural gas,5.0,1.5,vegetarian,370.3,1,large,2,['none'],"['stove', 'oven']",0.085,0.36,5,us,316.6
private,petrol,101.5,never,mixed,natural gas,6.0,2.5,vegan,1972.5,0,small,3,"['paper', 'glass']","['stove', 'oven', 'microwave', 'airfryer']",0.67013,0.11,1,india,492.9
private,petrol,41.6,often,renewable_heavy,electricity,6.5,11.0,vegetarian,254.8,2,medium,2,"['paper', 'metal', 'glass']","['stove', 'microwave', 'airfryer']",0.085,0.36,2,us,429.7
private,diesel,165.8,often,mixed,electricity,6.0,5.5,pescatarian,1872.3,2,large,5,['none'],"['oven', 'microwave']",0.67013,0.11,2,india,783.7
private,petrol,174.0,often,mixed,electricity,3.0,5.5,pescatarian,3413.7,1,extra large,1,"['paper', 'plastic', 'metal']",['none'],0.67013,0.11,4,india,788.5
private,diesel,69.8,rarely,mixed,natural gas,4.5,5.0,omnivore,2114.0,13,small,1,['none'],"['stove', 'microwave']",0.67013,0.11,4,india,814.7
private,petrol,113.4,rarely,renewable_heavy,electricity,4.0,0.5,pescatarian,1342.8,3,medium,5,"['paper', 'metal', 'glass']","['stove', 'oven', 'grill']",0.085,0.36,1,us,904.5
private,petrol,173.1,never,mixed,electricity,8.0,0.5,omnivore,1306.9,1,small,2,"['paper', 'plastic']",['microwave'],0.67013,0.11,1,india,578.4
walk/bicycle,none,414.6,rarely,mixed,natural gas,2.0,2.0,omnivore,613.2,2,large,2,['plastic'],"['stove', 'oven', 'microwave']",0.67013,0.11,2,india,519.5
private,petrol,128.3,never,renewable_heavy,natural gas,3.0,3.0,omnivore,455.4,2,small,2,['none'],['stove'],0.048,0.44,1,uk,520.4
private,petrol,80.4,often,mixed,electricity,8.5,2.5,vegetarian,2516.1,1,small,1,['none'],['stove'],0.67013,0.11,6,india,635.7
private,hybrid,687.6,often,mixed,electricity,7.5,4.5,omnivore,2073.4,3,small,3,"['plastic', 'glass']","['stove', 'oven', 'microwave']",0.67013,0.11,1,india,920.8
private,petrol,338.3,rarely,mixed,electricity,4.5,7.5,omnivore,942.3,1,large,3,"['paper', 'plastic']","['oven', 'microwave', 'airfryer']",0.67013,0.11,1,india,821.3
private,petrol,56.3,never,renewable_heavy,electricity,4.0,8.5,omnivore,1478.0,1,small,13,['none'],"['oven', 'microwave']",0.147,0.11,3,india,462.7
public,none,344.5,rarely,mixed,electricity,6.5,3.5,vegetarian,2228.5,1,medium,3,['glass'],"['stove', 'oven']",0.67013,0.11,5,india,544.8
walk/bicycle,none,113.0,rarely,mixed,natural gas,7.0,4.5,omnivore,511.3,1,small,5,['paper'],"['microwave', 'airfryer']",0.3844,0.36,1,us,622.6
private,petrol,456.0,rarely,mixed,wood,4.0,6.0,omnivore,2890.1,2,medium,2,['plastic'],"['oven', 'airfryer']",0.67013,0.11,4,india,740.4
private,petrol,124.7,often,mixed,natural gas,9.0,5.5,vegetarian,211.6,1,small,5,['none'],"['stove', 'microwave', 'grill']",0.21741,0.44,6,uk,478.5
public,none,36.0,never,mixed,electricity,4.0,5.0,omnivore,128.7,2,small,2,"['paper', 'plastic']",['none'],0.21741,0.44,1,uk,356.1
private,none,108.5,never,mixed,electricity,4.5,6.5,vegan,1809.3,2,large,1,"['paper', 'glass']",['oven'],0.67013,0.11,1,india,546.5
private,none,82.2,never,renewable_heavy,electricity,8.0,7.0,vegetarian,2815.3,0,small,1,"['paper', 'metal', 'glass']",['none'],0.147,0.11,1,india,432.9
public,none,99.6,never,mixed,electricity,4.0,7.5,vegan,965.8,5,small,2,['paper'],"['stove', 'microwave']",0.67013,0.11,5,india,354.1
private,petrol,23.0,rarely,mixed,wood,8.5,5.0,vegetarian,1067.4,2,large,2,['paper'],"['stove', 'oven', 'microwave']",0.3844,0.36,1,us,791.2
private,petrol,162.9,often,mixed,natural gas,6.0,7.0,vegetarian,1654.7,1,small,1,['none'],"['stove', 'microwave']",0.67013,0.11,1,india,634.0
private,diesel,29.0,never,mixed,wood,3.0,0.0,omnivore,681.1,1,small,4,['none'],"['stove', 'oven']",0.21741,0.44,1,uk,682.3
private,diesel,161.7,rarely,mixed,natural gas,8.0,5.5,vegetarian,967.6,3,small,0,['none'],"['stove', 'grill']",0.21741,0.44,1,uk,703.8
walk/bicycle,none,20.7,never,mixed,electricity,3.0,6.5,vegan,148.7,1,medium,3,"['plastic', 'metal']","['oven', 'microwave', 'airfryer']",0.21741,0.44,2,uk,223.3
private,petrol,67.6,often,mixed,electricity,1.5,2.0,omnivore,583.5,1,medium,2,['glass'],['oven'],0.3844,0.36,1,us,783.1
private,petrol,296.9,rarely,mixed,natural gas,4.5,8.0,omnivore,988.4,1,large,6,['none'],"['stove', 'grill']",0.21741,0.44,1,uk,1136.5
private,petrol,339.9,never,mixed,natural gas,3.0,0.0,omnivore,1558.6,1,small,2,['plastic'],['stove'],0.67013,0.11,4,india,532.6
private,petrol,88.6,never,renewable_heavy,natural gas,3.5,0.5,omnivore,1304.6,1,extra large,2,['none'],['stove'],0.085,0.36,1,us,812.2
private,petrol,296.2,often,mixed,electricity,3.0,5.0,omnivore,3452.9,0,small,5,['none'],"['stove', 'oven', 'airfryer']",0.67013,0.11,7,india,872.5
private,diesel,35.0,rarely,mixed,electricity,2.0,0.0,omnivore,304.5,2,small,1,['none'],"['stove', 'microwave']",0.21741,0.44,2,uk,471.6
private,lpg,436.2,never,mixed,electricity,0.5,5.0,pescatarian,437.0,1,small,2,['paper'],"['stove', 'microwave']",0.3844,0.36,1,us,468.8
private,petrol,523.1,never,mixed,electricity,6.0,8.5,omnivore,153.4,1,large,4,"['paper', 'plastic', 'metal']","['stove', 'oven']",0.21741,0.44,1,uk,642.6
public,none,149.8,never,mixed,electricity,5.5,5.0,omnivore,1373.8,1,medium,3,"['plastic', 'metal']","['stove', 'oven', 'microwave']",0.67013,0.11,10,india,413.0
private,hybrid,121.9,rarely,mixed,electricity,5.5,3.0,vegetarian,526.6,1,small,5,"['paper', 'glass']",['none'],0.21741,0.44,4,uk,467.6
walk/bicycle,none,21.9,never,mixed,electricity,5.0,7.5,vegan,383.4,1,medium,2,['plastic'],"['stove', 'grill']",0.3844,0.36,1,us,373.7
private,petrol,171.6,rarely,mixed,electricity,2.0,0.0,pescatarian,539.4,1,small,2,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.3844,0.36,4,us,470.3
private,petrol,328.0,never,mixed,electricity,5.0,6.0,vegetarian,689.1,2,medium,4,"['paper', 'plastic']",['none'],0.21741,0.44,3,uk,586.9
walk/bicycle,none,251.1,rarely,mixed,natural gas,3.0,5.0,vegetarian,3694.5,3,medium,2,['plastic'],"['stove', 'oven', 'airfryer']",0.67013,0.11,2,india,708.0
public,none,207.4,rarely,renewable_heavy,electricity,2.5,1.0,omnivore,2481.0,2,small,2,"['paper', 'metal']","['stove', 'microwave']",0.147,0.11,2,india,613.6
private,diesel,49.9,often,mixed,natural gas,0.0,4.0,omnivore,328.5,4,extra large,2,"['plastic', 'glass']",['stove'],0.3844,0.36,1,us,845.5
private,petrol,203.7,rarely,mixed,electricity,6.5,5.0,vegetarian,2205.9,5,small,3,"['paper', 'plastic', 'metal', 'glass']","['stove', 'microwave', 'airfryer']",0.67013,0.11,1,india,690.6
public,none,83.4,often,mixed,natural gas,2.5,5.5,pescatarian,2276.3,1,small,4,['none'],"['stove', 'microwave']",0.67013,0.11,1,india,767.3
private,none,650.5,very frequently,mixed,electricity,5.5,9.5,vegetarian,1405.8,6,medium,2,"['plastic', 'glass']",['none'],0.67013,0.11,3,india,917.7
private,none,311.6,rarely,mixed,natural gas,1.0,4.5,omnivore,2458.2,1,large,3,['paper'],"['stove', 'oven', 'microwave']",0.67013,0.11,2,india,739.7
private,petrol,230.3,rarely,mixed,natural gas,2.5,4.0,vegan,234.1,0,medium,6,['none'],['stove'],0.21741,0.44,2,uk,389.4
public,none,187.9,rarely,mixed,electricity,7.0,3.5,omnivore,441.7,2,large,4,"['paper', 'plastic']","['stove', 'airfryer']",0.3844,0.36,1,us,836.3
private,petrol,77.1,very frequently,mixed,natural gas,6.5,3.0,vegan,1441.6,2,small,2,['metal'],['stove'],0.67013,0.11,3,india,746.2
private,petrol,86.9,often,mixed,electricity,7.0,10.0,omnivore,344.0,9,medium,3,['none'],['none'],0.3844,0.36,2,us,805.6
walk/bicycle,none,1013.8,never,mixed,electricity,3.0,7.5,vegetarian,738.7,3,medium,7,['none'],['microwave'],0.3844,0.36,5,us,501.6
private,none,81.0,never,mixed,electricity,1.5,1.0,omnivore,735.9,5,large,4,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.3844,0.36,1,us,920.4
public,none,184.0,rarely,renewable_heavy,natural gas,5.5,5.5,vegetarian,332.6,5,small,2,['plastic'],"['stove', 'oven']",0.048,0.44,4,uk,456.4
private,petrol,198.2,rarely,mixed,natural gas,0.5,3.5,omnivore,731.3,1,medium,8,"['paper', 'plastic', 'metal']","['stove', 'oven']",0.21741,0.44,1,uk,920.6
public,none,181.5,often,renewable_heavy,wood,2.5,5.5,omnivore,3008.0,2,large,6,['none'],"['stove', 'oven', 'airfryer']",0.147,0.11,2,india,936.6
private,electric,212.8,often,renewable_heavy,electricity,2.5,0.0,omnivore,2772.3,1,small,5,['none'],"['stove', 'grill']",0.147,0.11,1,india,779.2
private,petrol,974.4,never,mixed,electricity,8.0,0.5,omnivore,428.8,2,small,2,['paper'],['none'],0.3844,0.36,3,us,537.2
private,diesel,206.1,rarely,mixed,electricity,2.5,4.5,pescatarian,643.9,2,medium,2,['none'],"['stove', 'oven', 'microwave']",0.3844,0.36,1,us,560.4
public,none,283.3,often,renewable_heavy,natural gas,4.5,7.0,pescatarian,352.1,2,medium,5,['none'],['oven'],0.085,0.36,2,us,621.7
private,petrol,137.8,rarely,mixed,electricity,1.0,4.5,omnivore,505.8,7,medium,2,['none'],['none'],0.3844,0.36,1,us,701.1
private,hybrid,152.1,never,mixed,electricity,6.5,2.0,omnivore,883.4,5,large,1,"['paper', 'plastic']","['stove', 'oven']",0.3844,0.36,2,us,662.0
private,diesel,276.1,often,mixed,wood,6.0,6.0,pescatarian,3323.9,2,small,4,"['paper', 'plastic']","['stove', 'grill', 'airfryer']",0.67013,0.11,1,india,908.7
public,none,641.2,never,mixed,electricity,3.0,4.5,vegetarian,1452.5,1,large,7,['none'],"['stove', 'microwave']",0.67013,0.11,1,india,914.7
public,none,578.1,rarely,renewable_heavy,electricity,6.5,4.5,vegan,3673.1,4,large,1,['none'],"['stove', 'microwave']",0.147,0.11,3,india,706.7
private,petrol,10.5,very frequently,mixed,electricity,7.5,2.5,vegetarian,1026.4,2,medium,7,['paper'],['stove'],0.67013,0.11,1,india,1002.1
private,petrol,40.0,often,renewable_heavy,electricity,3.0,9.0,pescatarian,1971.0,5,large,2,['none'],"['stove', 'microwave', 'grill', 'airfryer']",0.147,0.11,5,india,663.1
public,none,1174.1,rarely,mixed,electricity,7.0,4.5,omnivore,687.7,0,medium,3,"['paper', 'plastic', 'glass']",['stove'],0.21741,0.44,3,uk,644.2
private,petrol,112.2,never,mixed,electricity,4.0,8.0,vegetarian,1290.7,2,medium,5,"['paper', 'glass']",['stove'],0.67013,0.11,1,india,520.6
private,diesel,128.3,rarely,mixed,electricity,1.0,4.5,vegetarian,2394.4,5,medium,2,['none'],"['stove', 'oven', 'airfryer']",0.67013,0.11,7,india,595.2
private,hybrid,107.4,never,renewable_heavy,electricity,5.0,0.5,vegan,577.2,1,small,4,"['paper', 'metal']","['stove', 'oven']",0.085,0.36,7,us,371.3
private,petrol,56.0,rarely,renewable_heavy,electricity,3.0,6.0,vegan,743.8,0,large,2,['glass'],"['stove', 'oven', 'microwave']",0.048,0.44,1,uk,603.6
walk/bicycle,none,90.4,often,renewable_heavy,electricity,1.0,6.5,omnivore,1530.5,0,small,5,['plastic'],['none'],0.147,0.11,1,india,627.5
private,none,111.2,rarely,renewable_heavy,wood,4.5,1.0,vegetarian,581.7,2,medium,6,"['paper', 'plastic']","['stove', 'oven', 'airfryer']",0.048,0.44,2,uk,543.2
